0,0,68,136,204,272,340,408,476
1,3,66,134,202,270,338,406,474
2,5,64,132,200,268,336,404,472
3,7,67,130,198,266,334,402,470
4,9,69,128,196,264,332,400,468
5,11,71,131,194,262,330,398,466
6,13,73,133,192,260,328,396,464
7,15,75,135,195,258,326,394,462
8,17,77,137,197,256,324,392,460
9,19,79,139,199,259,322,390,458
10,21,81,141,201,261,320,388,456
11,23,83,143,203,263,323,386,454
12,25,85,145,205,265,325,384,452
13,27,87,147,207,267,327,387,450
14,29,89,149,209,269,329,389,448
15,31,91,151,211,271,331,391,451
16,32,93,153,213,273,333,393,453
17,34,95,155,215,275,335,395,455
18,36,96,157,217,277,337,397,457
19,38,98,159,219,279,339,399,459
20,40,100,160,221,281,341,401,461
21,42,102,162,223,283,343,403,463
22,44,104,164,224,285,345,405,465
23,46,106,166,226,287,347,407,467
24,48,108,168,228,288,349,409,469
25,50,110,170,230,290,351,411,471
26,52,112,172,232,292,352,413,473
27,54,114,174,234,294,354,415,475
28,56,116,176,236,296,356,416,477
29,58,118,178,238,298,358,418,479
30,60,120,180,240,300,360,420,480
31,62,122,182,242,302,362,422,482
32,63,124,184,244,304,364,424,484
33,61,126,186,246,306,366,426,486
34,59,127,188,248,308,368,428,488
35,57,125,190,250,310,370,430,490
36,55,123,191,252,312,372,432,492
37,53,121,189,254,314,374,434,494
38,51,119,187,255,316,376,436,496
39,49,117,185,253,318,378,438,498
40,47,115,183,251,319,380,440,500
41,45,113,181,249,317,382,442,502
42,43,111,179,247,315,383,444,504
43,41,109,177,245,313,381,446,506
44,39,107,175,243,311,379,447,508
45,37,105,173,241,309,377,445,510
46,35,103,171,239,307,375,443,511
47,30,101,169,237,305,373,441,509
48,28,99,167,235,303,371,439,507
49,26,94,165,233,301,369,437,505
50,24,92,163,231,299,367,435,503
51,22,90,158,229,297,365,433,501
52,20,88,156,227,295,363,431,499
53,18,86,154,222,293,361,429,497
54,16,84,152,220,291,359,427,495
55,14,82,150,218,286,357,425,493
56,12,80,148,216,284,355,423,491
57,10,78,146,214,282,350,421,489
58,8,76,144,212,280,348,419,487
59,6,74,142,210,278,346,414,485
60,4,72,140,208,276,344,412,483
61,2,70,138,206,274,342,410,478
62,1,65,129,193,257,321,385,449
63,33,97,161,225,289,353,417,481
