0,0,68,136,204,272,340,408,476,547,615,683,751,819,887,955,1023
1,3,66,134,202,270,338,406,474,542,613,681,749,817,885,953,1021
2,5,64,132,200,268,336,404,472,540,611,679,747,815,883,951,1019
3,7,67,130,198,266,334,402,470,538,606,677,745,813,881,949,1017
4,9,69,128,196,264,332,400,468,536,604,675,743,811,879,947,1015
5,11,71,131,194,262,330,398,466,534,602,670,741,809,877,945,1013
6,13,73,133,192,260,328,396,464,532,600,668,739,807,875,943,1011
7,15,75,135,195,258,326,394,462,530,598,666,734,805,873,941,1009
8,17,77,137,197,256,324,392,460,528,596,664,732,803,871,939,1007
9,19,79,139,199,259,322,390,458,526,594,662,730,798,869,937,1005
10,21,81,141,201,261,320,388,456,524,592,660,728,796,867,935,1003
11,23,83,143,203,263,323,386,454,522,590,658,726,794,862,933,1001
12,25,85,145,205,265,325,384,452,520,588,656,724,792,860,931,999
13,27,87,147,207,267,327,387,450,518,586,654,722,790,858,926,997
14,29,89,149,209,269,329,389,448,516,584,652,720,788,856,924,995
15,31,91,151,211,271,331,391,451,514,582,650,718,786,854,922,990
16,32,93,153,213,273,333,393,453,512,580,648,716,784,852,920,988
17,34,95,155,215,275,335,395,455,515,578,646,714,782,850,918,986
18,36,96,157,217,277,337,397,457,517,576,644,712,780,848,916,984
19,38,98,159,219,279,339,399,459,519,579,642,710,778,846,914,982
20,40,100,160,221,281,341,401,461,521,581,640,708,776,844,912,980
21,42,102,162,223,283,343,403,463,523,583,643,706,774,842,910,978
22,44,104,164,224,285,345,405,465,525,585,645,704,772,840,908,976
23,46,106,166,226,287,347,407,467,527,587,647,707,770,838,906,974
24,48,108,168,228,288,349,409,469,529,589,649,709,768,836,904,972
25,50,110,170,230,290,351,411,471,531,591,651,711,771,834,902,970
26,52,112,172,232,292,352,413,473,533,593,653,713,773,832,900,968
27,54,114,174,234,294,354,415,475,535,595,655,715,775,835,898,966
28,56,116,176,236,296,356,416,477,537,597,657,717,777,837,896,964
29,58,118,178,238,298,358,418,479,539,599,659,719,779,839,899,962
30,60,120,180,240,300,360,420,480,541,601,661,721,781,841,901,960
31,62,122,182,242,302,362,422,482,543,603,663,723,783,843,903,963
32,63,124,184,244,304,364,424,484,544,605,665,725,785,845,905,965
33,61,126,186,246,306,366,426,486,546,607,667,727,787,847,907,967
34,59,127,188,248,308,368,428,488,548,608,669,729,789,849,909,969
35,57,125,190,250,310,370,430,490,550,610,671,731,791,851,911,971
36,55,123,191,252,312,372,432,492,552,612,672,733,793,853,913,973
37,53,121,189,254,314,374,434,494,554,614,674,735,795,855,915,975
38,51,119,187,255,316,376,436,496,556,616,676,736,797,857,917,977
39,49,117,185,253,318,378,438,498,558,618,678,738,799,859,919,979
40,47,115,183,251,319,380,440,500,560,620,680,740,800,861,921,981
41,45,113,181,249,317,382,442,502,562,622,682,742,802,863,923,983
42,43,111,179,247,315,383,444,504,564,624,684,744,804,864,925,985
43,41,109,177,245,313,381,446,506,566,626,686,746,806,866,927,987
44,39,107,175,243,311,379,447,508,568,628,688,748,808,868,928,989
45,37,105,173,241,309,377,445,510,570,630,690,750,810,870,930,991
46,35,103,171,239,307,375,443,511,572,632,692,752,812,872,932,992
47,30,101,169,237,305,373,441,509,574,634,694,754,814,874,934,994
48,28,99,167,235,303,371,439,507,575,636,696,756,816,876,936,996
49,26,94,165,233,301,369,437,505,573,638,698,758,818,878,938,998
50,24,92,163,231,299,367,435,503,571,639,700,760,820,880,940,1000
51,22,90,158,229,297,365,433,501,569,637,702,762,822,882,942,1002
52,20,88,156,227,295,363,431,499,567,635,703,764,824,884,944,1004
53,18,86,154,222,293,361,429,497,565,633,701,766,826,886,946,1006
54,16,84,152,220,291,359,427,495,563,631,699,767,828,888,948,1008
55,14,82,150,218,286,357,425,493,561,629,697,765,830,890,950,1010
56,12,80,148,216,284,355,423,491,559,627,695,763,831,892,952,1012
57,10,78,146,214,282,350,421,489,557,625,693,761,829,894,954,1014
58,8,76,144,212,280,348,419,487,555,623,691,759,827,895,956,1016
59,6,74,142,210,278,346,414,485,553,621,689,757,825,893,958,1018
60,4,72,140,208,276,344,412,483,551,619,687,755,823,891,959,1020
61,2,70,138,206,274,342,410,478,549,617,685,753,821,889,957,1022
62,1,65,129,193,257,321,385,449,513,577,641,705,769,833,897,961
63,33,97,161,225,289,353,417,481,545,609,673,737,801,865,929,993
